"Ks","result_polska","result_niemcy","result_usa"
3,11.9359395574547,14.2442729160584,14.6793335821484
4,11.8817955221003,13.826713554689,14.5924233027239
5,11.5197589624494,13.9575887938138,14.7364992105416
6,11.348396926156,13.2036461319878,14.6322697704139
7,11.015690415156,13.2613388061927,14.4390730281093
8,10.8114252158761,13.05553438833,13.8238078899479
9,10.6200017650865,12.3096799928386,13.6342435313709
10,10.3243978413431,12.5534340682162,13.8437347433509
11,10.5276338092434,12.0730141718362,13.389030723996
12,10.255155145337,12.7029442007876,13.1436498978812
13,10.272517078278,12.0526352489575,12.1876879575983
14,10.2341784764394,12.0370733545764,12.1990346537438
15,10.2236303738162,12.0685294773532,12.5839185387042
16,10.2271042396622,12.1070826359199,12.1924185938252
17,10.2271547748861,12.0337446061852,12.1839441185541
18,10.2869374483578,12.0377212571775,12.1695981141706
19,10.2462629160306,12.0481389132219,12.1731869971705
20,10.2255891023877,12.0625016927359,12.168531057501
21,10.2306567526538,12.0338803683549,12.1699769433425
22,10.257593840653,12.0391745657409,12.1690814783672
23,10.2279435314807,12.0339403880057,12.1697903333389
24,10.2231919887172,12.1311442288105,12.1688081913129
25,10.2231073461771,12.0338376066118,12.1685833024988
26,10.2320577643863,12.0339476322012,12.1686694809396
27,10.2468037644831,12.0543068996399,12.1686877002779
28,10.2229650389141,12.036511583595,12.1727359135594
29,10.2232372574153,12.0336210967051,12.1686122600328
30,10.2230415219928,12.0336790840288,12.1681239541123
31,10.2230203315512,12.0464163487129,12.1679992603337
32,10.223020806048,12.0360477290009,12.1683588925992
33,10.2313321582247,12.0336826756014,12.1683261706717
34,10.2352316511857,12.0338232128647,12.1682994951796
35,10.2248901736208,12.0336262963191,12.1687642296171
36,10.2230394569647,12.03497698541,12.1681382167154
37,10.2229564632971,12.0336598147289,12.1680815277753
38,10.22351405864,12.0335871071718,12.1680031536505
39,10.2331602115889,12.0336333002325,12.1680248943664
40,10.2229201157814,12.0335572620259,12.1680214657332
41,10.2229614888852,12.0336937084714,12.1680170265443
42,10.2229674814883,12.0387419208218,12.1688058840219
43,10.2230123643563,12.0335167150672,12.1694457006672
44,10.2229415250895,12.1191581057766,12.167958385441
45,10.2253011543716,12.0335041351307,12.1679834185771
46,10.2228975798157,12.0335329042629,12.1680412874788
47,10.2229500648396,12.0571551943335,12.1679385790214
48,10.2229530939594,12.0336199430829,12.1679561032747
49,10.222924730418,12.0336656550011,12.1684139168315
50,10.222979770979,12.0335439337876,12.1679554406024
-1,10.2226683122454,12.0331005854408,12.1677814042916
